offer_name;offer_url_max;offer_price;url_cat_mini_2;cat_2;url_cat_mini;cat
Смартфон Samsung Galaxy A30s Black 32GB (SM-A307FN);https://www.eldorado.ru/cat/detail/smartfon-samsung-galaxy-a30s-black-32gb-sm-a307fn/;13990;/c/vse-smartfony/b/SAMSUNG/;Смартфоны Samsung;/d/smartfony-i-gadzhety/;Смартфоны и гаджеты
Смартфон Samsung Galaxy A30s Violet 32GB (SM-A307FN);https://www.eldorado.ru/cat/detail/smartfon-samsung-galaxy-a30s-violet-32gb-sm-a307fn/;13990;/c/vse-smartfony/b/SAMSUNG/;Смартфоны Samsung;/d/smartfony-i-gadzhety/;Смартфоны и гаджеты
Смартфон Samsung Galaxy A30s Black 64GB (SM-A307FN);https://www.eldorado.ru/cat/detail/smartfon-samsung-galaxy-a30s-black-64gb-sm-a307fn/;15990;/c/vse-smartfony/b/SAMSUNG/;Смартфоны Samsung;/d/smartfony-i-gadzhety/;Смартфоны и гаджеты
Смартфон Samsung Galaxy A30s White 32GB (SM-A307FN);https://www.eldorado.ru/cat/detail/smartfon-samsung-galaxy-a30s-white-32gb-sm-a307fn/;13990;/c/vse-smartfony/b/SAMSUNG/;Смартфоны Samsung;/d/smartfony-i-gadzhety/;Смартфоны и гаджеты
Смартфон Samsung Galaxy A30s Violet 64GB (SM-A307FN);https://www.eldorado.ru/cat/detail/smartfon-samsung-galaxy-a30s-violet-64gb-sm-a307fn/;15990;/c/vse-smartfony/b/SAMSUNG/;Смартфоны Samsung;/d/smartfony-i-gadzhety/;Смартфоны и гаджеты
Смартфон Samsung Galaxy A30s White 64GB (SM-A307FN);https://www.eldorado.ru/cat/detail/smartfon-samsung-galaxy-a30s-white-64gb-sm-a307fn/;15990;/c/vse-smartfony/b/SAMSUNG/;Смартфоны Samsung;/d/smartfony-i-gadzhety/;Смартфоны и гаджеты
Смартфон Samsung Galaxy A50 (2019) 64GB Black (SM-A505FN-DS);https://www.eldorado.ru/cat/detail/smartfon-samsung-galaxy-a50-2019-64gb-black-sm-a505fn-ds/;17990;/c/vse-smartfony/b/SAMSUNG/;Смартфоны Samsung;/d/smartfony-i-gadzhety/;Смартфоны и гаджеты
Смартфон Samsung Galaxy A50 (2019) 64GB White (SM-A505FN-DS);https://www.eldorado.ru/cat/detail/smartfon-samsung-galaxy-a50-2019-64gb-white-sm-a505fn-ds/;17990;/c/vse-smartfony/b/SAMSUNG/;Смартфоны Samsung;/d/smartfony-i-gadzhety/;Смартфоны и гаджеты
Смартфон Samsung Galaxy A50 (2019) 64GB Blue (SM-A505FN-DS);https://www.eldorado.ru/cat/detail/smartfon-samsung-galaxy-a50-2019-64gb-blue-sm-a505fn-ds/;17990;/c/vse-smartfony/b/SAMSUNG/;Смартфоны Samsung;/d/smartfony-i-gadzhety/;Смартфоны и гаджеты
Смартфон Samsung Galaxy A30 (2019) 32GB Black (SM-A305F/DS);https://www.eldorado.ru/cat/detail/smartfon-samsung-galaxy-a30-2019-32gb-black-sm-a305f-ds/;15990;/c/vse-smartfony/b/SAMSUNG/;Смартфоны Samsung;/d/smartfony-i-gadzhety/;Смартфоны и гаджеты
